order,name,description,privacy_policy,genre,age,origin_url
73,"Marvel's Iron Man VR (English, Korean, Japanese, Traditional Chinese)","*PlayStation®VR is not for use by children under age 12. PlayStation®4 systems, PlayStation®VR, and PlayStation®Camera are required to experience VR functionality.** Two PS Move motion controllers required to play. Sold separately.Don the PlayStation®VR headset* to suit up as the Armored Avenger in an original Iron Man adventure!Tony Stark has retired from making weapons and instead creates technology used to battle evil as Iron Man. After several years as a world-famous Super Hero, Tony is attacked by the mysterious Ghost, a hacker and anti-corporate activist who repurposes old Stark Industries weapons. In her efforts to topple his empire, Ghost attacks Stark's corporate locations around the world, leading to ever-escalating stakes and a final showdown.Key Features:• Using two PlayStation®Move motion controllers** fire up Iron Man's Repulsor Jets and blast into the skies with an arsenal of iconic Iron Man gear at your fingertips.• Face off against one of Iron Man's greatest foes in high stakes, action-packed battles.• Upgrade tech in Tony Stark's garage to customize Iron Man's sleek armor and awesome abilities.",,Action,,https://store.playstation.com/en-sg/product/HP9000-CUSA16408_00-MIMVRGAME0000001
75,Party Pumper (English Ver.),"Born in the vibrations of music, Party Pumper is a game about parties and for parties! Player's goal is to entertain the audience by mixing a music samples. Combine this with a dance movements and fun party gadgets action, interact with partygoers crowd and pump the party!",,Music/Rhythm,7,https://store.playstation.com/en-sg/product/UP5663-CUSA19303_00-PPUSPSVR28041989
77,Rec Room (English),"Rec Room is the best place to build and play games together. Party up with friends from all around the world to chat, hang out, explore MILLIONS of player-created rooms, or build something new and amazing to share with us all.Rec Room is free, and cross plays on everything from phones to VR headsets. It’s the social app you play like a video game!- Customize and dress up your cute Rec Room avatar to express your style- Discover challenging, fun or straight up weird games made by creators just like you- Try your skill with the Maker Pen, the tool used by Rec Room creators to build everything from puppies to helicopters to entire worlds!- Join the best community - Rec Room is a fun and welcoming place for people from all walks of life! Let us help you find people you’ll LOVE to hang out with.Come and join the club!",,"Sport, Unique",7,https://store.playstation.com/en-sg/product/UP2662-CUSA08481_00-RECROOM000000001
79,"Arizona Sunshine® - Deluxe Upgrade (Simplified Chinese, English, Korean, Japanese)","Complete your Arizona Sunshine® collection with the Deluxe Upgrade. Includes both campaignDLC - Dead Man DLC and The Damned DLC - to complete the Arizona Sunshine® story, as wellas the following digital deluxe bonus content:● Arizona Sunshine® SoundtrackOnly available on PS Store as part of the Deluxe Edition, the official soundtrack of Arizona Sunshine features 12 tracks and a bonus early demo sketch by Jonathan vd Wijngaarden.● Arizona Sunshine® PlayStation 4 ThemePreviously exclusive to the launch edition, this theme features artwork of the post apocalyptic world of Arizona Sunshine®● Arizona Sunshine® Pack for After the Fall*From the creators of Arizona Sunshine®, After the Fall is an upcoming VR action FPS with seamless 4-player co-op gameplay at its core. Show your survivor legacy in its ravaged multiplayer world by donning the Arizona Sunshine colors with this themed item pack, including:- Arizona Sunshine® weapon skins- Arizona Sunshine® gear- Arizona Sunshine® badge*Available for use in-game in After the Fall upon launch in 2021.",,"Action, Horror, Shooter",,https://store.playstation.com/en-sg/product/JP3575-CUSA09324_00-3134407675071338
76,Final Assault (English/Chinese/Korean/Japanese Ver.),"※PlayStation®Move motion controller is required to play this content.Final Assault is an action packed, WWII themed RTS that capitalizes on the power of VR. Command massive ground battles as the skies erupt in dynamic dog fights. Combat requires quick thinking and fast reflexes. Fight the battle, win the war!Copyright:©2017 Phaser Lock Interactive Inc. The Final Assault, Phaser Lock Interactive Inc and related logos are registered trademarks or trademarks of Phaser Lock Interactive Inc. in the US and/or other countries. All Rights Reserved. VR is required for all modes from the start. The player overlooks the battlefield and can reach down to control ground vehicles and reach up to control flying vehicles.Purchase or use of this item is subject to SEN Terms of Service and User Agreement.",,Casual,,https://store.playstation.com/en-sg/product/UP1926-CUSA16823_00-ASIA000000000000
80,The Wizards - Enhanced Edition (English/Chinese/Korean/Japanese Ver.),"※PlayStation®Move motion controller is required to play this content.Use PS Move to destroy your enemies by weaving magic into lightning, fireballs, and other elemental spells. Chain combos and use different tactics against the hostile creatures. Make the game as challenging or as casual as you like with Fate Cards, and become the hero you’ve always wanted to be with powerful spells at your fingertips!Action-adventure VR spellcaster set in a rich fantasy worldCampaign featuring time travel, heroic battles, and dragonsIntuitive system of casting spells with hand gesturesSix element-based spells to learn and upgradeHigh replayability thanks to game-modifying Fate CardsArena mode with challenging battles on the arenasFree movement and/or teleportation-based explorationCopyright:© 2020 CIRCLE Entertainment LTD. All rights reserved.Purchase or use of this item is subject to SEN Terms of Service and User Agreement.",,Adventure,,https://store.playstation.com/en-sg/product/HP1658-CUSA17326_00-WIZARDSASIACIRCL
82,Tilt Brush (English Ver.),"※2 PlayStation®Move motion controllers is required to play this content※PlayStation®Move motion controller is required to play this content.Tilt Brush lets you paint in 3D space with virtual reality. Unleash your creativity with three-dimensional brush strokes, stars, light, and even fire. Your room is your canvas. Your palette is your imagination. The possibilities are endless.Copyright:©2020 Sony Interactive Entertainment LLC.Tilt Brush, Google LLC © 2020. Published by Sony Interactive Entertainment Inc.Purchase or use of this item is subject to SEN Terms of Service and User Agreement.",,Unique,,https://store.playstation.com/en-sg/product/UP9000-CUSA18125_00-ASIATILTBRUSH000
81,Human Anatomy VR (English),"※PlayStation®Move motion controller is required to play this content.Human Anatomy VRDo you know how many bones are in the human body?Explore your body down to the smallest detail. Up to 7,000 precisely modelled anatomy structures in your VR device. Amazing graphics and intuitive control allows you to explore the human anatomy from a whole new point of view. A unique function – AntMode – makes you 40 times smaller in order to explore inner body structures in a greater detail.Can you rebuild the human body? Do you know where is the Humerus located? Get to know the whole human body in an enjoyable way thanks to the Human Anatomy VR.Human Anatomy VR is an educational application in virtual reality. The application depicts simplified anatomy models suitable for high school students. Human Anatomy VR offers unique virtual and educational experience. Human Anatomy VR employs all advantages of virtual reality in order to make learning more entertaining and effective.The Human Anatomy VR contains all anatomy systems.And lot of amazing functions.Copyright:©2020 Human Anatomy VR related logos are registered trademarks or trademarks of Virtual Medicine in the Asia and/or other regoions. All Rights Reserved.Purchase or use of this item is subject to SEN Terms of Service and User Agreement.",https://medicinevirtual.com/terms-and-conditions.html,Educational,,https://store.playstation.com/en-sg/product/EP5449-CUSA15437_00-ASIA000000000000
83,Space Channel 5 VR Kinda Funky News Flash! (English/Japanese Ver.),"※PlayStation®Move motion controller is required to play this content.Dance is your power to protect the earth against invading aliens.SEGA’s legendary Dreamcast rhythm game “Space Channel 5 ” is coming to virtual reality as ”Space Channel 5 VR Kinda Funky News Flash!"".Heroine Ulala will navigate you through the world of “Space Channel 5”.Your task is to master a series of life saving dancing poses while tuning into the cool beat. More poses you strike, more viewer ratings you get! Kick ass dancing experience, guarantee 100% satisfaction & WOW factor.Experience the return of Ulala for yourselves!Copyright:©SEGA ©GROUNDING INC.Purchase or use of this item is subject to SEN Terms of Service and User Agreement.",,Music/Rhythm,,https://store.playstation.com/en-sg/product/JP4821-CUSA14632_00-ASIA000000000000
86,Cytus Selection vol.2 (English/Chinese/Korean/Japanese Ver.),"Cytus Selection Vol.2 song pack contains the following:・Future World    - TV Mode difficulty: Easy 4 / Normal 6 / Hard 8    - VR Mode difficulty: Easy 4 / Hard 8・Holy Knight    - TV Mode difficulty: Easy 3 / Normal 7 / Hard 10    - VR Mode difficulty: Easy 3 / Hard 9・Niflheimr    - TV Mode difficulty: Easy 2 / Normal 7 / Hard 10    - VR Mode difficulty: Easy 2 / Hard 10・Parousia    - TV Mode difficulty: Easy 4 / Normal 8 / Hard 10    - VR Mode difficulty: Easy 5 / Hard 10・Recollections    - TV Mode difficulty: Easy 3 / Normal 7 / Hard 9    - VR Mode difficulty: Easy 5 / Hard 9In order to play with this additional content, it is necessary to first purchase game disc or full game from PlayStation™Store that is sold separately and update your game with the most recent online update.This program or data to be applied to existing program is only compatible with Asia version (official product) which is distributed by SIE or other official distributors. Compatibility with program or data from other region is not guaranteed.Copyright:©2019 Rayark Inc. DEEMO -Reborn-®Published by Sony Music Entertainment (Japan) Inc.",,Music/Rhythm,,https://store.playstation.com/en-sg/product/JP2857-CUSA13140_00-ASIA000000000014
84,Space Channel 5 VR Kinda Funky News Flash! - DEMO (English/Japanese Ver.),"※PlayStation®Move motion controller is required to play this content.Dance is your power to protect the earth against invading aliens.SEGA’s legendary Dreamcast rhythm game “Space Channel 5 ” is coming to virtual reality as ”Space Channel 5 VR Kinda Funky News Flash!"".Heroine Ulala will navigate you through the world of “Space Channel 5”.Your task is to master a series of life saving dancing poses while tuning into the cool beat. More poses you strike, more viewer ratings you get! Kick ass dancing experience, guarantee 100% satisfaction & WOW factor.Experience the return of Ulala for yourselves!Because this is a trial version, we do not guarantee all functionality in this trial version.Copyright:©SEGA ©GROUNDING INC.Purchase or use of this item is subject to SEN Terms of Service and User Agreement.",,Music/Rhythm,,https://store.playstation.com/en-sg/product/JP4821-CUSA17929_00-ASIA000000000000
87,MILI collection (English/Chinese/Korean/Japanese Ver.),"MILI Collection song pack contains the following:・Fable    - TV Mode difficulty: Easy 5 / Normal 7 / Hard 9    - VR Mode difficulty: Easy 4 / Hard 9・Past the Stargazing Season    - TV Mode difficulty: Easy 3 / Normal 6 / Hard 8    - VR Mode difficulty: Easy 3 / Hard 7・Ephemeral    - TV Mode difficulty: Easy 3 / Normal 5 / Hard 8    - VR Mode difficulty: Easy 4 / Hard 8・Rosetta    - TV Mode difficulty: Easy 4 / Normal 7 / Hard 9    - VR Mode difficulty: Easy 4 / Hard 9・Witch's Invitation    - TV Mode difficulty: Easy 3 / Normal 7 / Hard 9    - VR Mode difficulty: Easy 5 / Hard 9In order to play with this additional content, it is necessary to first purchase game disc or full game from PlayStation™Store that is sold separately and update your game with the most recent online update.This program or data to be applied to existing program is only compatible with Asia version (official product) which is distributed by SIE or other official distributors. Compatibility with program or data from other region is not guaranteed.Copyright:©2019 Rayark Inc. DEEMO -Reborn-®Published by Sony Music Entertainment (Japan) Inc.",,Music/Rhythm,,https://store.playstation.com/en-sg/product/JP2857-CUSA13140_00-ASIA000000000015
85,Hatsune Miku VR - 5 songs pack 3 (Add-On),"5 new songs and dances for Hatsune Miku VR!SingRomeo & CinderellaKarakuri Pierrot39music!Round off the Square EarthOther FeaturesNew stage: Cyber StageIn order to play with this additional content, it is necessary to first purchase game disc or full game from PlayStation™Store that is sold separately and update your game with the most recent online update.This program or data to be applied to existing program is only compatible with Asia version (official product) which is distributed by SIE or other official distributors. Compatibility with program or data from other region is not guaranteed.Copyright:© Crypton Future Media, INC. www.piapro.net",,Action,,https://store.playstation.com/en-sg/product/JP1328-CUSA17144_00-ASIA000000000003
89,"Dreams Universe™ (English, Korean, Traditional Chinese)","FROM THE CREATORS OF LITTLEBIGPLANET™Play thousands of games created by players across the world, including arcade games, RPGs, horror and comedy games – even some genres that may not have existed before Dreams™. With new games and experiences being published every day, there is always something to play, discover and enjoy.Want to learn to make your own games? Dreams™ also gives you the tools and tutorials to create games, memes, music, art and more, that can be shared with and played by a global community.PS VR UPDATEWatch your Dreams come to life in front of your eyes in virtual reality. If you own the full Dreams™ game and a PS VR headset, you can access the new Dreams™ VR tools, play new VR mini-games created by Media Molecule and create your own VR content in the new PS VR patch update.",,"Adventure, Unique, Action",,https://store.playstation.com/en-sg/product/HP9000-CUSA13819_00-DREAMS0000000000
92,Eshen Chen Collection Vol.1: Transmission (English/Chinese/Korean/Japanese Ver.),"Eshen Chen Collection Vol.1: Transmission song pack contains the following:・Seaside Road    - TV Mode difficulty: Easy 3 / Normal 5 / Hard 7    - VR Mode difficulty: Easy 2 / Hard 6・Run Away Run    - TV Mode difficulty: Easy 3 / Normal 5 / Hard 7    - VR Mode difficulty: Easy 2 / Hard 6・Falling Ears    - TV Mode difficulty: Easy 3 / Normal 5 / Hard 7    - VR Mode difficulty: Easy 2 / Hard 6・Flowers Above Your Head    - TV Mode difficulty: Easy 3 / Normal 5 / Hard 7    - VR Mode difficulty: Easy 2 / Hard 6・Almost Morning    - TV Mode difficulty: Easy 3 / Normal 5 / Hard 7    - VR Mode difficulty: Easy 2 / Hard 6In order to play with this additional content, it is necessary to first purchase game disc or full game from PlayStation™Store that is sold separately and update your game with the most recent online update.This program or data to be applied to existing program is only compatible with Asia version (official product) which is distributed by SIE or other official distributors. Compatibility with program or data from other region is not guaranteed.Copyright:©2019 Rayark Inc. DEEMO -Reborn-®Published by Sony Music Entertainment (Japan) Inc.",,Music/Rhythm,,https://store.playstation.com/en-sg/product/JP2857-CUSA13140_00-ASIA000000000013
88,Rayark Selection vol.3 (English/Chinese/Korean/Japanese Ver.),"Rayark Selection Vol.3 song pack contains the following:・Little Corgi’s Dream    - TV Mode difficulty: Easy 2 / Normal 5 / Hard 7    - VR Mode difficulty: Easy 3 / Hard 7・Morning Drops    - TV Mode difficulty: Easy 3 / Normal 5 / Hard 8    - VR Mode difficulty: Easy 1 / Hard 8・The Letter    - TV Mode difficulty: Easy 4 / Normal 6 / Hard 7    - VR Mode difficulty: Easy 4 / Hard 7・Waltz in Devil's Playground    - TV Mode difficulty: Easy 3 / Normal 6 / Hard 9    - VR Mode difficulty: Easy 3 / Hard 8・Veritas    - TV Mode difficulty: Easy 3 / Normal 7 / Hard 10    - VR Mode difficulty: Easy 3 / Hard 10In order to play with this additional content, it is necessary to first purchase game disc or full game from PlayStation™Store that is sold separately and update your game with the most recent online update.This program or data to be applied to existing program is only compatible with Asia version (official product) which is distributed by SIE or other official distributors. Compatibility with program or data from other region is not guaranteed.Copyright:©2019 Rayark Inc. DEEMO -Reborn-®Published by Sony Music Entertainment (Japan) Inc.",,Music/Rhythm,,https://store.playstation.com/en-sg/product/JP2857-CUSA13140_00-ASIA000000000016
90,Throw Anything (English/Chinese/Korean/Japanese Ver.),"※This item is also offered in a pack. There is nowhere to run... and nowhere to hide as zombies climb up the walls hoping to satisfy their appetite for brains. The only way to survive: reload your guns, destroy all furniture in the room, grab them all, and throw anything you can find to take them down.. and we mean ANYTHING.Face off against starving zombies in high-rise buildings across the globe in the VR action game, Throw Anything!Copyright:© 2018 VisualLight. All rights reserved. Throw Anything  and VisualLight are are registered trademarks of VisualLight.",,"Action, Action",,https://store.playstation.com/en-sg/product/HP4492-CUSA12770_00-0000000000000001
93,M2U X Nicode Collection (English/Chinese/Korean/Japanese Ver.),"M2U X Nicode Collection song pack contains the following:・Moon Halo    - TV Mode difficulty: Easy 3 / Normal 6 / Hard 8    - VR Mode difficulty: Easy 2 / Hard 7・LUNE    - TV Mode difficulty: Easy 5 / Normal 8 / Hard 10    - VR Mode difficulty: Easy 3 / Hard 10・Wicked Fate    - TV Mode difficulty: Easy 4 / Normal 8 / Hard 10    - VR Mode difficulty: Easy 4 / Hard 9・Stellar    - TV Mode difficulty: Easy 3 / Normal 7 / Hard 8    - VR Mode difficulty: Easy 4 / Hard 8・Loadstar    - TV Mode difficulty: Easy 3 / Normal 7 / Hard 8    - VR Mode difficulty: Easy 3 / Hard 7In order to play with this additional content, it is necessary to first purchase game disc or full game from PlayStation™Store that is sold separately and update your game with the most recent online update.This program or data to be applied to existing program is only compatible with Asia version (official product) which is distributed by SIE or other official distributors. Compatibility with program or data from other region is not guaranteed.Copyright:©2019 Rayark Inc. DEEMO -Reborn-®Published by Sony Music Entertainment (Japan) Inc.",,Music/Rhythm,,https://store.playstation.com/en-sg/product/JP2857-CUSA13140_00-ASIA000000000011
91,Cytus Selection vol.1 (English/Chinese/Korean/Japanese Ver.),"The Cytus Selection Vol.1 song pack contains the following:・DRG    - TV Mode difficulty: Easy 4 / Normal 7 / Hard 9    - VR Mode difficulty: Easy 3 / Hard 8・Libera me    - TV Mode difficulty: Easy 3 / Normal 8 / Hard 10    - VR Mode difficulty: Easy 5 / Hard 10・Precipitation    - TV Mode difficulty: Easy 5 / Normal 7 / Hard 10    - VR Mode difficulty: Easy 6 / Hard 10・Sacred    - TV Mode difficulty: Easy 3 / Normal 5 / Hard 9    - VR Mode difficulty: Easy 3 / Hard 9・The Black Case    - TV Mode difficulty: Easy 3 / Normal 5 / Hard 7    - VR Mode difficulty: Easy 3 / Hard 8In order to play with this additional content, it is necessary to first purchase game disc or full game from PlayStation™Store that is sold separately and update your game with the most recent online update.This program or data to be applied to existing program is only compatible with Asia version (official product) which is distributed by SIE or other official distributors. Compatibility with program or data from other region is not guaranteed.Copyright:©2019 Rayark Inc. DEEMO -Reborn-®Published by Sony Music Entertainment (Japan) Inc.",,Music/Rhythm,,https://store.playstation.com/en-sg/product/JP2857-CUSA13140_00-ASIA000000000012
94,Mini Motor Racing X (English/Korean/Japanese Ver.),"※This content supports PlayStation®Move motion controller during VR experience. Grab your controller or strap on your VR headset and dive into the high-octane frenzy that is Mini Motor Racing X! The classic Mini Motor career mode is back, with hundreds of races, dozens of cars to unlock and upgrade, and four fiendish championships to master, but that’s not all. MMRX adds some firepower to the mix in the new Type-X mode!MULTIPLAYER: Full online multiplayer with up to four friends, and local career mode co-op.MASSIVE CAREER MODE: Eight huge championships and 52 unique and vibrant environments to master, each with multiple day and night and weather variants. TYPE X’ BATTLE MODE: The same fast-paced racing action, but with the added chaos of weapons. Available for both career mode and multiplayer races.PLAY IN FLAT OR PSVR WITH CROSS PLAY: Full support for VR and non-VR gameplay on PlayStation 4 with multiplayer cross play between them.BUMPER BALL: Play online or locally with friends and score some goals in this frantic party mode.Copyright:Copyright © The Binary Mill 2019Purchase or use of this item is subject to SEN Terms of Service and User Agreement.",,Driving/Racing,,https://store.playstation.com/en-sg/product/UP4557-CUSA17842_00-ASIA000000000000
95,Airtone (English/Chinese/Korean/Japanese Ver.),"※This content supports PlayStation®Move motion controller.Airtone is a brand-new type of VR rhythm game that allows you to enter a virtual world along with the main character, Neon. The spectacular music and visuals make for an all-new arcade rhythm game experience! With sophisticated VR game controls, the player matches the hand controllers to markers as they fly down the lanes. There are three kinds of markers, ""smash"", ""trigger"", and ""press and hold"". Hit these markers in time to the music as you soar through the air. Airtone boasts a deep story that sets it apart from other rhythm games. The player receives support from Neon, and moves the story along by gathering the ""Rhythm"" residing in the music. As you progress through the game, you find out more and more about the mysteries surrounding Neon and the world you find yourself in.Copyright:©  AMG GAMES All rights Reserved.Purchase or use of this item is subject to SEN Terms of Service and User Agreement.",,Music/Rhythm,,https://store.playstation.com/en-sg/product/JP3107-CUSA09001_00-ASIA000000000000
96,Knight Rosabell Collection (English/Chinese/Korean/Japanese Ver.),"Knight Rosabell Collection song pack contains the following:・Lord of Crimson Rose    - TV Mode difficulty: Easy 3 / Normal 6 / Hard 8    - VR Mode difficulty: Easy 2 / Hard 7・Predawn    - TV Mode difficulty: Easy 2 / Normal 6 / Hard 10    - VR Mode difficulty: Easy 3 / Hard 9・The Fallen Bloom    - TV Mode difficulty: Easy 2 / Normal 4 / Hard 6    - VR Mode difficulty: Easy 1 / Hard 6・Where You Are Not    - TV Mode difficulty: Easy 4 / Normal 8 / Hard 10    - VR Mode difficulty: Easy 3 / Hard 9・Music. The Eternity Of Us    - TV Mode difficulty: Easy 3 / Normal 6 / Hard 8    - VR Mode difficulty: Easy 3 / Hard 7In order to play with this additional content, it is necessary to first purchase game disc or full game from PlayStation™Store that is sold separately and update your game with the most recent online update.This program or data to be applied to existing program is only compatible with Asia version (official product) which is distributed by SIE or other official distributors. Compatibility with program or data from other region is not guaranteed.Copyright:©2019 Rayark Inc. DEEMO -Reborn-®Published by Sony Music Entertainment (Japan) Inc.",,Music/Rhythm,,https://store.playstation.com/en-sg/product/JP2857-CUSA13140_00-ASIA000000000010
100,"DARKNESS ROLLERCOASTER - Ultimate Shooter Edition (Simplified Chinese, English, Japanese)","※This content supports PlayStation®Move motion controller.Rollercoaster Darkness - Ultimate Shooter Edition is an amazing adventure where action is ubiquitous!Shoot enemies with your PS Moves or DUALSHOCK®4 (3D Rudder Compatible), block their attacks with your shield or slow down time.But beware of the pitfalls and obstacles you will need to avoid when moving your vehicle at any time!Activate your special vision to recover all the secrets and defeat the final boss ...Compare your score with your friends and win the best shooter trophies!Do you want to live a fantastic experience that will hook you to your seat?Do you like action, emotions and sensations?Try Rollercoaster Darkness - The Ultimate Shooter Edition!Compatibility: DUALSHOCK®4 - PS MOVES - 3D RUDDERCopyright:©CREATIVE VR3DPurchase or use of this item is subject to SEN Terms of Service and User Agreement.",,Action,,https://store.playstation.com/en-sg/product/EP4730-CUSA14845_00-ASIA000000000000
99,Wolfenstein: Resistance Bundle (English/Chinese/Korean Ver.),"Join the resistance, kill Nazis and liberate Paris in two action-packed Wolfenstein games!Team up with a friend in Wolfenstein: Youngblood and help the French resistance dismantle the Nazi regime's stanglehold on Paris in the first modern co-op Wolfenstein adventure.Wolfenstein: Youngblood includes The Buddy PassInvite a friend to join in the joy of killing Nazis! With the pass you and a friend can play the entire game together, even if they don't own the game themselves. AndThe Cyborg Skin Pack. Get geared up for battle with  cool skins and an armor-boost to keep you in the fight!- Titanium alloy skins for all weapons- Armor-boosting pep signalWolfenstein: Cyberpilot is a stunning VR experience that lets players turn powerful Nazi war machines against their masters and wreak havoc in the streets of Paris.Ram, gun down, and burn your way through the City of Love, leaving dead Nazis in your wake. Saddle up, Cyberpilot, you’re one of us now.",,"Action, Shooter, Simulation",,https://store.playstation.com/en-sg/product/HP1003-CUSA13821_00-ASPS000000000001
98,Rayark Selection Vol.2 (English/Chinese/Korean/Japanese Ver.),"Rayark Selection Vol.2 song pack contains the following:・Friction    - TV Mode difficulty: Easy 3 / Normal 5 / Hard 7    - VR Mode difficulty: Easy 3 / Hard 7・I race the dawn    - TV Mode difficulty: Easy 2 / Normal 5 / Hard 9    - VR Mode difficulty: Easy 5 / Hard 8・Moon Without The Stars    - TV Mode difficulty: Easy 1 / Normal 4 / Hard 6    - VR Mode difficulty: Easy 1 / Hard 8・sanctity    - TV Mode difficulty: Easy 2 / Normal 4 / Hard 8    - VR Mode difficulty: Easy 3 / Hard 9・Altale    - TV Mode difficulty: Easy 2 / Normal 6 / Hard 10    - VR Mode difficulty: Easy 4 / Hard 10In order to play with this additional content, it is necessary to first purchase game disc or full game from PlayStation™Store that is sold separately and update your game with the most recent online update.This program or data to be applied to existing program is only compatible with Asia version (official product) which is distributed by SIE or other official distributors. Compatibility with program or data from other region is not guaranteed.Copyright:©2019 Rayark Inc. DEEMO -Reborn-®Published by Sony Music Entertainment (Japan) Inc.",,Music/Rhythm,,https://store.playstation.com/en-sg/product/JP2857-CUSA13140_00-ASIA000000000008
97,N.M.S.T. Collection (English/Chinese/Korean/Japanese Ver.),"N.M.S.T. Collection song pack contains the following:・Farewell    - TV Mode difficulty: Easy 1 / Normal 4 / Hard 6    - VR Mode difficulty: Easy 2 / Hard 6・Winter    - TV Mode difficulty: Easy 3 / Normal 5 / Hard 7    - VR Mode difficulty: Easy 3 / Hard 7・Fluffie Partie    - TV Mode difficulty: Easy 3 / Normal 6 / Hard 8    - VR Mode difficulty: Easy 4 / Hard 8・Snowflakes    - TV Mode difficulty: Easy 3 / Normal 7 / Hard 9    - VR Mode difficulty: Easy 2 / Hard 8・kouyou    - TV Mode difficulty: Easy 6 / Normal 9 / Hard 10    - VR Mode difficulty: Easy 6 / Hard 10In order to play with this additional content, it is necessary to first purchase game disc or full game from PlayStation™Store that is sold separately and update your game with the most recent online update.This program or data to be applied to existing program is only compatible with Asia version (official product) which is distributed by SIE or other official distributors. Compatibility with program or data from other region is not guaranteed.Copyright:©2019 Rayark Inc. DEEMO -Reborn-®Published by Sony Music Entertainment (Japan) Inc.",,Music/Rhythm,,https://store.playstation.com/en-sg/product/JP2857-CUSA13140_00-ASIA000000000009
101,Hatsune Miku VR (Game),"※This item is also offered in a pack. World-famous virtual singer Hatsune Miku invites you to join her on stage in in this VR music game! Simply put on your headset, choose a song then catch the musical notes pumping out of the speakers with your glow sticks. Long riff symbols and other challenges will make it harder to reach fever mode and the perfect score!The following popular Hatsune Miku songs are included in the base game:StellaIevan PolkkaSingularityAmagoi MiseinenSharing The WorldGhost RuleSenbonZakuraHibikaseSLoWMoTIoNKey Features:Enjoy unique dance routinesCustomise the game with two difficulty settings, outfits and sticksMusic video mode: direct your own music video!Copyright:© Crypton Future Media, INC. www.piapro.net",,Action,,https://store.playstation.com/en-sg/product/JP1328-CUSA17144_00-ASIA000000000000
102,Hatsune Miku VR - Song Pack 1 (Add-On),"※This item is also offered in a pack. 5 new songs and dances for Hatsune Miku VR!Alien AlienStarry SongLove TrialFuture TeleportationTeoOther FeaturesNew stage: Lovely round garden (for future teleportation)In order to play with this additional content, it is necessary to first purchase game disc or full game from PlayStation™Store that is sold separately and update your game with the most recent online update.This program or data to be applied to existing program is only compatible with Asia version (official product) which is distributed by SIE or other official distributors. Compatibility with program or data from other region is not guaranteed.Copyright:© Crypton Future Media, INC. www.piapro.net",,"Action, Music/Rhythm",,https://store.playstation.com/en-sg/product/JP1328-CUSA17144_00-ASIA000000000001
103,Hatsune Miku VR - Song Pack 2 (Add-On),"※This item is also offered in a pack. 5 new songs and dances for Hatsune Miku VR!All I Need are Things I likeLoneliness And RealKimagure Mercy2dimension dream feverMETEOROther FeaturesNew stage: Orbital ElevatorIn order to play with this additional content, it is necessary to first purchase game disc or full game from PlayStation™Store that is sold separately and update your game with the most recent online update.This program or data to be applied to existing program is only compatible with Asia version (official product) which is distributed by SIE or other official distributors. Compatibility with program or data from other region is not guaranteed.Copyright:© Crypton Future Media, INC. www.piapro.net",,"Action, Music/Rhythm",,https://store.playstation.com/en-sg/product/JP1328-CUSA17144_00-ASIA000000000002
104,Richie's Plank Experience (English),"You're on a plank, 80 stories high. Knees shaky, palms sweaty. Do you dare make it to the end? Richie's Plank Experience lets you experience the thrill of doing the impossible. Now with spooky Nightmare Mode and Hero Academy!This is a short experience made for entertaining your friends and family.Hero Academy & Sky Brush Bonus LevelsWant to know what it feels like to be a super-hero? Here’s your chance. Players can race against the clock and acquire gold stars, extinguish fires and save the city, or unleash their creativity by writing in the sky.Do you dare to enter the Nightmare? Try the elevator panel and see what awaits...Richie’s Plank Experience was made to demonstrate virtual reality to friends and family. It’s a short experience which will cause big reactions - exhilaration, fear and laughter - it’s always surprising to see how each person reacts.Join our Discord community: https://discord.gg/aSG5QZeCopyright:Developed by Toast VR.",,Action,,https://store.playstation.com/en-sg/product/EP3114-CUSA13902_00-ASIA000000000000
107,Knight Iris Collection (English/Chinese/Korean/Japanese Ver.),"Knight Iris Collection song pack contains the following:・The Way We Were    - TV Mode difficulty: Easy 4 / Normal 6 / Hard 8    - VR Mode difficulty: Easy 4 / Hard 8・The Sanctuary    - TV Mode difficulty: Easy 3 / Normal 5 / Hard 7    - VR Mode difficulty: Easy 4 / Hard 8・The Red Coronation    - TV Mode difficulty: Easy 2 / Normal 6 / Hard 9    - VR Mode difficulty: Easy 5 / Hard 9・Forbidden Codex    - TV Mode difficulty: Easy 3 / Normal 6 / Hard 10    - VR Mode difficulty: Easy 6 / Hard 9・Knight of Firmament    - TV Mode difficulty: Easy 2 / Normal 7 / Hard 8    - VR Mode difficulty: Easy 2 / Hard 8In order to play with this additional content, it is necessary to first purchase game disc or full game from PlayStation™Store that is sold separately and update your game with the most recent online update.This program or data to be applied to existing program is only compatible with Asia version (official product) which is distributed by SIE or other official distributors. Compatibility with program or data from other region is not guaranteed.Copyright:©2019 Rayark Inc. DEEMO -Reborn-®Published by Sony Music Entertainment (Japan) Inc.",,Music/Rhythm,,https://store.playstation.com/en-sg/product/JP2857-CUSA13140_00-ASIA000000000007
