name,Age_rating,age_info,category,Category,privacy_policy,Report_this_product,Developed_by,Published_by,Additional_terms,In-app_purchases,support language,Language_supported,Please note,Copyright,Installation,Approximate_size,This_app_can,Seizure_warnings,Publisher_Info,Release_date,publish_info,Accessibility,origin_url,description
HeadSquare,Age rating|||For all ages,.,.,Category|||Multi-Player Online Battle Arena,http://madeinholo.com/privacy-policy/,Report this product|||Sign in to report this game to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/headsquare/9ntgxn0c3k21?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this game to Microsoft|||Sign in to report this game to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fheadsquare%2f9ntgxn0c3k21%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||MadeInHolo,Published by|||Made In Point GmbH|||Made In Point GmbH|||,Additional terms|||HeadSquare privacy policy Terms of transaction|||HeadSquare privacy policy|||HeadSquare privacy policy|||HeadSquare privacy policy@http://madeinholo.com/privacy-policy/||||||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,Copyright|||MadeInPoint 2017|||MadeInPoint 2017|||,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||207.47 MB,This app can|||Use your microphone Access your Internet connection|||Use your microphone||||||Access your Internet connection|||||||||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||HeadSquare website HeadSquare support|||HeadSquare website|||HeadSquare website|||HeadSquare website@http://madeinholo.com/||||||HeadSquare support|||HeadSquare support|||HeadSquare support@mailto:info@madeinholo.com|||,Release date|||10/11/2017,.,.,.,"Multiplayer Ball Game. Single player mode supported.   Use your head as the controller and play alone or with up to six players online.  Very immersive multiplayer fun.  Play solo or meet other people for a game.  You can create a private room, as well. Just share the ID of the room with your friends. You can play on VR or on the desktop.   The game begins with 2D ball movement. After 60 seconds, the arena walls rise and the ball will move in all directions, including up and down.  Power Apps in game: - Small and big ball - Slow and fast ball - Dark mode: use a flashlight on your head to see the ball - Barrel mode: part of the arena is hidden by a barrel with fire - Get additional lives  If you play in multiplayer mode, you will be crowned for each victory."
HoloPlanisphere,Age rating|||For all ages,.,.,Category|||Education > Instructional tools|||Education > Instructional tools|||Education > Instructional tools@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Education%5cInstructional+tools,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/holoplanisphere/9nv2b5wjnqg6?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fholoplanisphere%2f9nv2b5wjnqg6%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,.,Published by|||デコ|||デコ|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||60.06 MB,.,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,.,Release date|||1/18/2018,.,.,.,"You can see constellations in 360 that are arranged by calculation using time, latitude, longitude and Hipparcos Catalogue data. Since the stars are positioned in the sky if it is the real. Of course, you can operate these parameters and simulate sky which you want to see."
AK 47,Age rating|||For all ages,.,.,Category|||Education > Study guides|||Education > Study guides|||Education > Study guides@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Education%5cStudy+aids,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/ak-47/9nv5sg4qvhgv?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fak-47%2f9nv5sg4qvhgv%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||Chandan Maurya,Published by|||Veative Labs|||Veative Labs|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,Copyright|||Veative Labs Pvt. ltd.|||Veative Labs Pvt. ltd.|||,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.  This product needs to be installed on your internal hard drive.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.||||||||||||This product needs to be installed on your internal hard drive.|||,Approximate size|||175.32 MB,This app can|||Use your microphone Access your Internet connection|||Use your microphone||||||Access your Internet connection|||||||||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||AK 47 website AK 47 support|||AK 47 website|||AK 47 website|||AK 47 website@https://www.veative.com/||||||AK 47 support|||AK 47 support|||AK 47 support@mailto:santosh@veative.com|||,Release date|||3/9/2018,.,"Accessibility|||The product developer believes this product meets accessibility requirements, making it easier for everyone to use.",.,"AK-47 is an assault rifle, which may be used in automatic as well as semiautomatic firing mode. In fully automatic firing cyclic, it can fire about 600 rounds per minute with a practical rate of about 100 rounds per minute.  In this app you will be able to : 1 Identify the parts used in construction of AK-47 2 Understand the working of AK- 47 in - semiautomatic firing mode - fully automatic firing mode 3 Explore how to switch between the two firing modes of AK-47"
Home AR Decorator,Age rating|||For all ages,.,.,Category|||Lifestyle > Home & garden|||Lifestyle > Home & garden|||Lifestyle > Home & garden@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Lifestyle%5cHome+%26+garden,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/home-ar-decorator/9nvldqrm4mql?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fhome-ar-decorator%2f9nvldqrm4mql%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,.,Published by|||monis khan|||monis khan|||,"Additional terms|||Terms of transaction Home AR Decorator license terms This app does not access or store any private information, and is free to use.|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale||||||Home AR Decorator license terms||||||This app does not access or store any private information, and is free to use.|||",.,.,Language supported|||English (United States)|||English (United States)|||,.,Copyright|||We do not own the likeness of any Ikea furniture depicted|||We do not own the likeness of any Ikea furniture depicted|||,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||183.89 MB,This app can|||Use your microphone Access your Internet connection|||Use your microphone||||||Access your Internet connection|||||||||||||||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,.,Release date|||6/20/2017,.,.,.,"This project utilizes augmented reality software on the Microsoft HoloLens platform to provide better spatial and aesthetic information about the retail products in the Ikea catalogue, making remote e-commerce on parity with in-store visits and decrease information asymmetry. This provides users a more immersive experience and conveniently relays spatial information before transactions, without the need for premature shipment, assembly, or furniture movement/placement; ultimately reducing the rate of returns/exchanges.  The motivation behind the project is based on the fact that Ikea, the world's largest furniture retailer, maintains multiple commerce channels for consumers in print, online, and in stores with ¬200 million printed catalogues, >700 million store visits, and >2 billion visits to ikea.com, the largest of the three. Hence, e-commerce, yields a returns rate of 10 percent, three times higher than that of transactions made at brick-and-mortar stores. This difference is attributed to the consumer being less informed about the product at the time of purchase when shopping for furniture online, leading to dissatisfaction with the size, aesthetics, or decorum compatibility with the furniture post-transaction.  Before releasing, extensive user studies were conducted to measure usability. The user's interactions in selecting, moving, and pinning the holographic 3D models while wearing the HoloLens headset was observed to determine the efficacy of the software. The software's ability to assist the consumer in assessing furniture, versus looking at static images and text was measured. The ease of use and perusal time for users interacting with the software was also measured to evaluate likelihood of adoption.  Please help provide feedback to improve future versions of the app. Any constructive feedback is encouraged and welcome.  This app was made as an engineering project by student developers; Monis Khan, Tianhao Zhu, Tony Wang, Oscar Leung"
Oriental Museum,Age rating|||For all ages,.,.,Category|||Books & reference > Reference|||Books & reference > Reference|||Books & reference > Reference@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Books+%26+reference%5cReference,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/oriental-museum/9nvlrhmrrb9q?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2foriental-museum%2f9nvlrhmrrb9q%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||247 TECHNOLOGY LIMITED,Published by|||247 TECHNOLOGY LIMITED|||247 TECHNOLOGY LIMITED|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||169.87 MB,This app can|||Use your microphone Access your Internet connection and act as a server.|||Use your microphone||||||Access your Internet connection and act as a server.|||||||||||||||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,.,Release date|||12/12/2016,.,.,.,"Among the existing ancient architecture and heritage sites, the Forbidden City is the representative masterpiece which is the most complete with the richest content. Building began in Ming Emperor Yongle Year 4 (1406) until late Qing Cixi’s construction of new palaces, the Forbidden City has been through longer than five centuries of operation during Ming and Qing dynasties, and it is now a palace cluster of such grandeur that it covers 720,000m2 with more than 70 palaces and 9,000 rooms. Meanwhile, as the Forbidden City is the imperial palace, it is the museum with the largest number and highest standard of treasures as it collects as many as a million pieces of priceless cultural relics. These grand architecture clusters and shining national treasures are the best materials for Mixed Reality development beyond doubt.  This Mixed Reality application based on Chinese Forbidden City. User could experience the three functions of the app:  1. Panoramic view of the Forbidden City model;  2. Interior structure and scene display of important architecture such as Taihe Hall and Qianqing Palace, along with user interaction with treasures in the palace;  3. Data visualization of tourist traffic distribution and others."
Bowling VR,Age rating|||For all ages,.,.,Category|||Family & kids|||Family & kids|||Family & kids@https://www.microsoft.com/en-us/store/top-paid/games/pc?category=Family+%26+kids,http://www.magmamobile.com/privacypolicy/,Report this product|||Sign in to report this game to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/bowling-vr/9nvpmzx1rljd?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this game to Microsoft|||Sign in to report this game to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fbowling-vr%2f9nvpmzx1rljd%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,.,Published by|||Magma Mobile|||Magma Mobile|||,Additional terms|||Bowling VR privacy policy Terms of transaction|||Bowling VR privacy policy|||Bowling VR privacy policy|||Bowling VR privacy policy@http://www.magmamobile.com/privacypolicy/||||||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,Copyright|||Magma Mobile|||Magma Mobile|||,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||210.95 MB,This app can|||Access your Internet connection|||Access your Internet connection|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||Bowling VR website Bowling VR support|||Bowling VR website|||Bowling VR website|||Bowling VR website@http://www.magmamobile.com/||||||Bowling VR support|||Bowling VR support|||Bowling VR support@http://www.magmamobile.com/|||,Release date|||2/6/2018,.,.,.,"Ready to roll your Bowling Ball like a pro ? With Bowling VR, play bowling as if you were there!  The goal of this game is very simple: Knock over as many pins as possible to make Strikes!  With a nice 3D environment, you can use this game to train you to become an undisputed master of bowling or challenge your friends to reach the highest score.  Hours of fun alone or with friends are waiting for you with Bowling VR! (1 to 4 players, each turn)  How many consecutive strikes will you get ? Can you score a perfect 300 ?  - 1 to 4 players (each turn) - 4 different rooms - A choice among 45 different balls - Replay in slow motion at the end of each throw to better see your performance and help to improve yourself."
Smurfs : The Lost Village,Age rating|||For all ages,.,.,Category|||Action & adventure|||Action & adventure|||Action & adventure@https://www.microsoft.com/en-us/store/top-paid/games/hololens?category=Action+%26+adventure,-1,Report this product|||Sign in to report this game to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/smurfs-the-lost-village/9nvvbz99dh61?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this game to Microsoft|||Sign in to report this game to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fsmurfs-the-lost-village%2f9nvvbz99dh61%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||AOL (UK),Published by|||AOL (UK)|||AOL (UK)|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,Copyright|||©Peyo. All Rights Reserved. “Smurf” and “The Smurfs” are registered trademarks of STUDIO PEYO|||©Peyo. All Rights Reserved. “Smurf” and “The Smurfs” are registered trademarks of STUDIO PEYO|||,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||201.38 MB,This app can|||Use your microphone Access your Internet connection and act as a server.|||Use your microphone||||||Access your Internet connection and act as a server.|||||||||||||||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||Smurfs : The Lost Village website|||Smurfs : The Lost Village website|||Smurfs : The Lost Village website|||Smurfs : The Lost Village website@http://www.smurfsmovie.com/|||,Release date|||4/7/2017,.,.,.,"Embark on a roller-coaster journey full of action and danger starting with Papa Smurf in the Smurf Village before entering the Forbidden Forest filled with magical creatures and Smurf eating plants!  Find all the map pieces to find a mysterious lost village before taking on the evil wizard Gargamel in a freezeball finale.  All you need is a good sized table, some free space on the floor, a smaller coffee table or a couch and the adventure starts!"
bitnamic CONNECT,Age rating|||For all ages,.,.,Category|||Business > Collaboration|||Business > Collaboration|||Business > Collaboration@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Business%5cCollaboration,https://vios.bitnamic.net/assets/termsandprivacy/privacy_en.html,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/bitnamic-connect/9nw8nzprc56x?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fbitnamic-connect%2f9nw8nzprc56x%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||Bitnamic GmbH,Published by|||Bitnamic GmbH|||Bitnamic GmbH|||,Additional terms|||bitnamic CONNECT privacy policy Terms of transaction|||bitnamic CONNECT privacy policy|||bitnamic CONNECT privacy policy|||bitnamic CONNECT privacy policy@https://vios.bitnamic.net/assets/termsandprivacy/privacy_en.html||||||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.  This product needs to be installed on your internal hard drive.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.||||||||||||This product needs to be installed on your internal hard drive.|||,Approximate size|||242.31 MB,This app can|||Use your webcam Use your microphone Access your Internet connection|||Use your webcam||||||Use your microphone||||||Access your Internet connection|||||||||||||||||||||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||bitnamic CONNECT website bitnamic CONNECT support|||bitnamic CONNECT website|||bitnamic CONNECT website|||bitnamic CONNECT website@http://www.bitnamic.net/||||||bitnamic CONNECT support|||bitnamic CONNECT support|||bitnamic CONNECT support@mailto:hololens@bitnamic.net|||,Release date|||1/16/2018,.,.,.,"Master service challenges with bitnamic CONNECT!  The app for mobile and worldwide collaboration in service and maintenance offers you live video and voice communication from on-site technicians (with hololens) to one or more remote experts. The image quality is especially optimized for service and maintenance. Additional features include chat and whiteboard collaboration as well as spatial laserpointer and annotations. To keep full control of all content, bitnamic CONNECT is secured with latest encryption technologies.  Requirements to establish a service session: - valid account on vios.bitnamic.net including a hololens-license - communicate the service information to the expert  Time limited test accounts and licenses for your company can be created upon request. Contact us for demos, accounts, licenses or further questions: - write an email to hololens@bitnamic.net - or visit www.bitnamic.net"
HoloIndEqp,Age rating|||For all ages,.,.,Category|||Productivity|||Productivity|||Productivity@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Productivity,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/holoindeqp/9nw8qpnrdk16?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fholoindeqp%2f9nw8qpnrdk16%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||Adjacentech R&D Team,Published by|||北京嘉讯广源科技有限公司|||北京嘉讯广源科技有限公司|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||73.9 MB,.,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||HoloIndEqp website HoloIndEqp support|||HoloIndEqp website|||HoloIndEqp website|||HoloIndEqp website@http://www.holoxiu.com/||||||HoloIndEqp support|||HoloIndEqp support|||HoloIndEqp support@mailto:rd@adjacentech.com|||,Release date|||7/5/2017,.,.,.,"This is an app to show lathe machine in HoloLens. It can be used to experience machine operation, view introductions of the main parts of lathe machine. Also, you can see the internal structure of the machine.  Instructions: 1.Air tap the red button to turn on the machine. 2.Tap and hold the carriage handwheel, then drag from right to left or from left to right. 3.Gaze to view the introduction of the main parts."
Holo Property,Age rating|||For all ages,.,.,Category|||Lifestyle > Home & garden|||Lifestyle > Home & garden|||Lifestyle > Home & garden@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Lifestyle%5cHome+%26+garden,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/holo-property/9nw8x6c33vsb?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fholo-property%2f9nw8x6c33vsb%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||Radya Labs Teknologi,Published by|||Radya Labs Teknologi|||Radya Labs Teknologi|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,Copyright|||Radya Labs Teknologi|||Radya Labs Teknologi|||,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||91.31 MB,This app can|||Use your microphone See your current and past surroundings|||Use your microphone||||||See your current and past surroundings|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||Holo Property website Holo Property support|||Holo Property website|||Holo Property website|||Holo Property website@http://www.radyalabs.com/||||||Holo Property support|||Holo Property support|||Holo Property support@mailto:support@radyalabs.com|||,Release date|||1/5/2017,.,.,.,"Holo Property is a mixed reality simulation that make it easy for property agent or company to showcase their assets. With Property Model feature, agent can show sample unit without bringing the customer to the site.  With Property Sight feature, agent can show how the house will be built on the particular site so customer can find the environment of the property more realistic."
DynamicAnatomy,Age rating|||For all ages,.,.,Category|||Education > Instructional tools|||Education > Instructional tools|||Education > Instructional tools@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Education%5cInstructional+tools,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/dynamicanatomy/9nwlj4qq053p?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fdynamicanatomy%2f9nwlj4qq053p%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,"Developed by|||Leiden University Medical Center, Leiden University Centre for Innovation, InSpark",Published by|||Centre for Innovation Leiden University|||Centre for Innovation Leiden University|||,"Additional terms|||Terms of transaction DynamicAnatomy license terms By downloading/installing this software, the user agrees to these additional terms (which include the third party terms): https://goo.gl/4RxbfG|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale||||||DynamicAnatomy license terms||||||By downloading/installing this software, the user agrees to these additional terms (which include the third party terms): https://goo.gl/4RxbfG|||",.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.  This product needs to be installed on your internal hard drive.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.||||||||||||This product needs to be installed on your internal hard drive.|||,Approximate size|||78.48 MB,This app can|||Use your microphone Access your Internet connection|||Use your microphone||||||Access your Internet connection|||||||||||||||||||||||||||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||DynamicAnatomy website|||DynamicAnatomy website|||DynamicAnatomy website|||DynamicAnatomy website@https://www.mr4education.com/|||,Release date|||12/10/2017,.,.,.,"DynamicAnatomy is an interactive application for HoloLens created by Leiden University Centre for Innovation and Leiden University Medical Center. In this application you will learn the dynamic 3D anatomy of the ankle joint.   This application was made possible (in part) by the support of SURFnet, the collaborative organisation for ICT in Dutch education and research."
ECHO MINI GAMES PARTY,Age rating|||For ages 10 and up,.,.,Category|||Puzzle & trivia|||Puzzle & trivia|||Puzzle & trivia@https://www.microsoft.com/en-us/store/top-paid/games/pc?category=Puzzle+%26+trivia,-1,Report this product|||Sign in to report this game to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/echo-mini-games-party/9nwmzkcsvnc2?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this game to Microsoft|||Sign in to report this game to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fecho-mini-games-party%2f9nwmzkcsvnc2%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,.,Published by|||Virtual Studios|||Virtual Studios|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||155.9 MB,This app can|||Communicate with already paired Bluetooth devices Use your devices that support the Human Interface Device (HID) protocol|||Communicate with already paired Bluetooth devices||||||Use your devices that support the Human Interface Device (HID) protocol|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,.,Release date|||3/17/2018,.,.,.,"ECHO is a funky alien. ECHO likes playing games with you. But ECHO doesn't like losers. Never lose against him... Otherwise he will kill you! Try to survive the challenges that ECHO is preparing for you!  Game List : - SHIFUMI : The classical game where you have to choose between Rock, Paper and Scissors ! - LIGHT GAME : Try to reproduce the lighting sequence ! - TIME BOMB : Play with a bomb, but when will it explode ? - TIME BOMB 2 : Play with a bomb, but when will it explode ? Your score grows up as long as you have the bomb. - LAST ONE : Don't be the last to keep the ball ! - FIND ME : Try to find ECHO before time's up ! - HIDDEN BOMB : 20 balls, one of them is a bomb ! - MEMORY : Try to remember where are the correct balls ! - BONTO : 3 Boxes, one ball, try to find it ! - SPEED TOUCH : Be faster than ECHO to touch the speed button !  Many more games are coming on the next updates !  From creators of Beasts of Legend VR!"
